,분류,충전소,주소,이용가능시간,타입,충전기용량,lon,lat,요금
726,충전소,매일더탐나,제주특별자치도 서귀포시 표선면 일주동로6455번길 9실외주차장,24시간 이용가능,AC완속,정보없음,126.7828911,33.3067321,"회원: 324.4~347.2원
비회원: 430원"
727,충전소,메모리아 리조트,제주특별자치도 서귀포시 성산읍 일주동로 5199-3(신산리 1176-9),24시간 이용가능,AC완속,7kW,126.8731453,33.3745481,"회원: 324.4~347.2원
비회원: 430원"
728,충전소,명도암 마을회,제주특별자치도 제주시 명림로 268-69,24시간 이용가능,AC완속,정보없음,126.6070908,33.4616354,"회원: 324.4~347.2원
비회원: 430원"
729,충전소,베니키아호텔제주(1),제주특별자치도 제주시 애월읍 애월해안로 554-10,24시간 이용가능,AC완속,정보없음,126.3629501,33.4776427,"회원: 324.4~347.2원
비회원: 430원"
730,충전소,베니키아호텔제주(2),제주특별자치도 제주시 애월읍 애월해안로 554-6,24시간 이용가능,AC완속,정보없음,126.3629501,33.4776427,"회원: 324.4~347.2원
비회원: 430원"
731,충전소,빌라드애월,제주특별자치도 제주시 애월읍 애월해안로 516-7,24시간 이용가능,AC완속,정보없음,126.3665625,33.4782235,"회원: 324.4~347.2원
비회원: 430원"
732,충전소,새오름영농조합,제주특별자치도 제주시 한림읍 수동7길 54-3,24시간 이용가능,AC완속,정보없음,126.2484776,33.3442621,"회원: 324.4~347.2원
비회원: 430원"
733,충전소,서귀포 막동 주차장,제주특별자치도 서귀포시 막동산로 48(서호동 824),24시간 이용가능,AC완속,7kW,126.5210466,33.2558886,"회원: 324.4~347.2원
비회원: 430원"
734,충전소,서귀포매일올레시장,제주특별자치도 서귀포시 중앙로62번길 지상2층(서귀포시 서귀동 277-2),24시간 이용가능,DC차데모+AC3상+DC콤보,100kW,126.5638433,33.2515016,"회원: 324.4~347.2원
비회원: 430원"
735,충전소,서귀포시축협 흑한우명품관,제주특별자치도 서귀포시 일주동로8421(서귀포시 토평동 262-1 ),24시간 이용가능,DC차데모+AC3상+DC콤보,50kW,126.5885177,33.2572426,"회원: 324.4~347.2원
비회원: 430원"
736,충전소,선반내주유소,제주특별자치도 서귀포시 일주동로8780(서귀포시 서홍동 1153),24시간 이용가능,DC차데모+AC3상+DC콤보,50kW,126.5509089,33.2529872,"회원: 324.4~347.2원
비회원: 430원"
737,충전소,성산 플레이스,제주특별자치도 서귀포시 성산읍 동류암로 20,24시간 이용가능,AC완속,정보없음,126.9165127,33.4491938,"회원: 324.4~347.2원
비회원: 430원"
738,충전소,성산아쿠아비치호텔,제주특별자치도 서귀포시 성산읍 일주동로 4258,24시간 이용가능,AC완속,정보없음,126.9119979,33.4483373,"회원: 324.4~347.2원
비회원: 430원"
739,충전소,성산일출봉,제주특별자치도 서귀포시 일출로 284-6(성산읍 성산리 114-3),24시간 이용가능,DC차데모+AC3상+DC콤보,50kW,126.9352237,33.4624691,"회원: 324.4~347.2원
비회원: 430원"
740,충전소,성읍랜드,제주특별자치도 서귀포시 표선면 번영로2650(표선면 성읍리 2045-1),24시간 이용가능,DC차데모+AC3상+DC콤보,50kW,126.7873305,33.3987468,"회원: 324.4~347.2원
비회원: 430원"
741,충전소,세븐일레븐 서귀포덕수점,제주특별자치도 서귀포시 안덕면 덕수서로 91(덕수리 2144-3),24시간 이용가능,DC차데모+DC콤보,50kW,126.3042764,33.2586685,"회원: 324.4~347.2원
비회원: 430원"
742,충전소,세븐일레븐 제주함덕게스트하우스,제주특별자치도 제주시 조천읍 신북로 643,24시간 이용가능,AC완속,정보없음,126.6782084,33.540729,"회원: 324.4~347.2원
비회원: 430원"
743,충전소,세븐일레븐 한림센터점,제주특별자치도 제주시 한림읍 한림서길 38(한림리 1503),24시간 이용가능,DC차데모+DC콤보,50kW,126.2604325,33.4091865,"회원: 324.4~347.2원
비회원: 430원"
744,충전소,쉴띠하우스,제주특별자치도 서귀포시 안덕면 한창로 102-1,24시간 이용가능,AC완속,정보없음,126.3661767,33.2723241,"회원: 324.4~347.2원
비회원: 430원"
745,충전소,스위스마을,제주특별자치도 제주시 조천읍 함와로 566-27 스위스마을,24시간 이용가능,AC완속,정보없음,126.6777359,33.5145232,"회원: 324.4~347.2원
비회원: 430원"
746,충전소,신풍리마을회(게스트하우스),제주특별자치도 서귀포시 성산읍 신풍하동로 37,24시간 이용가능,AC완속,정보없음,126.8401547,33.3627692,"회원: 324.4~347.2원
비회원: 430원"
747,충전소,아름다운리조트,제주특별자치도 서귀포시 성산읍 해맞이해안로 2644,24시간 이용가능,AC완속,정보없음,126.9099122,33.4758294,"회원: 324.4~347.2원
비회원: 430원"
748,충전소,아모렉스 리조트,제주특별자치도 제주시 서해안로 216(제주시 도두1동 1742),24시간 이용가능,DC차데모+AC3상+DC콤보,50kW,126.4702754,33.5074916,"회원: 324.4~347.2원
비회원: 430원"
749,충전소,안덕농협 하나로마트,제주특별자치도 서귀포시 화순로122(안덕면 화순리 1089-1),24시간 이용가능,DC차데모+AC3상+DC콤보,50kW,126.333321,33.2465809,"회원: 324.4~347.2원
비회원: 430원"
750,충전소,애월공장,제주특별자치도 제주시 애월읍 곽봉로 4-39,24시간 이용가능,AC완속,정보없음,126.3057128,33.4459742,"회원: 324.4~347.2원
비회원: 430원"
751,충전소,애월농협 하나로마트,제주특별자치도 제주시 애원로41(애월리 1400-1),24시간 이용가능,DC차데모+AC3상+DC콤보,50kW,126.3215331,33.460321,"회원: 324.4~347.2원
비회원: 430원"
752,충전소,약천사,제주특별자치도 서귀포시 하원동 1698-1,24시간 이용가능,DC차데모+AC3상+DC콤보,50kW,126.4505646,33.243745,"회원: 324.4~347.2원
비회원: 430원"
753,충전소,연동공영주차장,"제주특별자치도 제주시 연동 272-31, 지상1층",24시간 이용가능,AC완속,7kW,126.491207,33.4890445,"회원: 259~345원
비회원: 430원"
754,충전소,오션블루,제주특별자치도 제주시 어영길 10-5(용담삼동 2309-1),24시간 이용가능,DC차데모+DC콤보,50kW,126.4939738,33.5189027,"회원: 259~345원
비회원: 430원"
755,충전소,윈드힐호텔앤리조트,제주특별자치도 제주시 애월읍 애월해안로 554-8,24시간 이용가능,AC완속,정보없음,126.3629501,33.4776427,"회원: 259~345원
비회원: 430원"
756,충전소,은빌레펜션,제주특별자치도 서귀포시 남원읍 한신로 247-3,24시간 이용가능,AC완속,정보없음,126.7168645,33.3117075,"회원: 259~345원
비회원: 430원"
757,충전소,이노우에스시,제주특별자치도 제주시 과원로 78-1,24시간 이용가능,AC완속,정보없음,126.491468,33.4771542,"회원: 259~345원
비회원: 430원"
758,충전소,이도주공1단지아파트,제주특별자치도 제주시 구남로7길 36주차장,24시간 이용가능,AC완속,정보없음,126.5337884,33.4924001,"회원: 259~345원
비회원: 430원"
759,충전소,제주공항 입구주차장,제주특별자치도 제주시 다호북길7(용담2동 1611-2),24시간 이용가능,DC차데모+AC3상+DC콤보,50kW,126.4846199,33.50252,"회원: 259~345원
비회원: 430원"
760,충전소,제주노블레스관광호텔,제주특별자치도 제주시 월성로4길 19,24시간 이용가능,AC완속,정보없음,126.501107,33.5004485,"회원: 259~345원
비회원: 430원"
761,충전소,제주대학교 병원,제주특별자치도 제주시 아란13길15(아라1동 1753-3),24시간 이용가능,DC차데모+AC3상+DC콤보,50kW,126.5457558,33.4670429,"회원: 259~345원
비회원: 430원"
